ISBN10,ISBN13,Title,Author,Cover,Publisher,Pages,,
345405730,9.78035E+12,Dreamers,,,,,,
451197410,9.78045E+12,How Stella Got Her Groove Back,Terry McMillan,http://www.openisbn.com/cover/0451197410_72.jpg,Signet,448,,
761522557,9.78076E+12,Homeschoolers' Success Stories : 15 Adults And 12 Young People Share The Impact That Homeschooling Has Made On Their Lives,Linda Dobson,http://www.openisbn.com/cover/0761522557_72.jpg,Prima Lifestyles,304,,
316601950,9.78032E+12,The Pilot's Wife (Oprah's Book Club),Anita Shreve,http://www.openisbn.com/cover/0316601950_72.jpg,Back Bay Books,283,,
399151516,9.7804E+12,Reckless Abandon: A Stone Barrington Novel,Stuart Woods,http://www.openisbn.com/cover/0399151516_72.jpg,Putnam Adult,304,,
399151435,9.7804E+12,A Death In Vienna,Daniel Silva,http://www.openisbn.com/cover/0399151435_72.jpg,Putnam Adult,416,,
451210220,9.78045E+12,The First Law (Dismas Hardy),John Lescroart,http://www.openisbn.com/cover/0451210220_72.jpg,Signet,640,,
399148515,9.7804E+12,The English Assassin,Daniel Silva,http://www.openisbn.com/cover/0399148515_72.jpg,Putnam Adult,400,,
886777771,9.78089E+12,River Of Blue Fire (Otherland,,,,,,
445406518,9.78045E+12,Crocodile On The Sandbank (Amelia Peabody,,,,,,
671697978,9.78067E+12,Monsters And Magicians (Stairway To Forever,,,,,,
441317480,9.78044E+12,Hard Sell,Piers Anthony,http://www.openisbn.com/cover/0441317480_72.jpg,Ace,10,,
345405625,9.78035E+12,Walk In Hell (The Great War,,,,,,
345406141,9.78035E+12,How Few Remain,Harry Turtledove,http://www.openisbn.com/cover/0345406141_72.jpg,Del Rey,608,,
61006629,9.78006E+12,Fatherland,Robert Harris,http://www.openisbn.com/cover/0061006629_72.jpg,HarperTorch,400,,
553563696,9.78055E+12,The Hand Of Chaos (Death Gate Cycle,,,,,,
345431618,9.78035E+12,The Man Who Fell To Earth,Walter Tevis,http://www.openisbn.com/cover/0345431618_72.jpg,Ballantine / Del Rey,209,,
553567713,9.78055E+12,Into The Labyrinth (Death Gate Cycle),Margaret Weis,,,,,
553286390,9.78055E+12,Dragon Wing (The Death Gate Cycle,,,,,,
345301293,9.78035E+12,Blade Runner,Philip K. Dick,http://www.openisbn.com/cover/0345301293_72.jpg,Del Rey,0,,
345382412,9.78035E+12,In The Balance (Worldwar Series,,,,,,
345389972,9.78035E+12,Tilting The Balance (Worldwar Series,,,,,,
345402219,9.78035E+12,Upsetting The Balance (Worldwar Series,,,,,,
345405501,9.78035E+12,Striking The Balance (Worldwar Series,,,,,,
671654349,9.78067E+12,The Stairway To Forever,Robert Adams,,,,,
671832174,9.78067E+12,The Book Of The Dun Cow,Walter Wangerin Jr.,http://www.openisbn.com/cover/0671832174_72.jpg,Pocket,255,,
881845531,9.78088E+12,The Zap Gun,Philip K. Dick,http://www.openisbn.com/cover/0881845531_72.jpg,Carroll &amp; Graf Pub,258,,
076534128X,9.78077E+12,Rebekah (Women Of Genesis (Forge)),Orson Scott Card,http://www.openisbn.com/cover/076534128X_72.jpg,Forge Books,416,,
441662382,9.78044E+12,Phthor,Piers Anthony,http://www.openisbn.com/cover/0441662382_72.jpg,Ace,1,,
345384687,9.78035E+12,The Guns Of The South,Harry Turtledove,http://www.openisbn.com/cover/0345384687_72.jpg,Del Rey,576,,
345353749,9.78035E+12,A Town Like Alice,Nevil Shute,http://www.openisbn.com/cover/0345353749_72.jpg,Ballantine Books,288,,
1586481843,9.78159E+12,Franklin Delano Roosevelt: Champion Of Freedom,Conrad Black,http://www.openisbn.com/cover/1586481843_72.jpg,PublicAffairs,1360,,
088184389X,9.78088E+12,Dr. Bloodmoney,Philip K. Dick,http://www.openisbn.com/cover/088184389X_72.jpg,Carroll &amp; Graf Pub,304,,
460872583,9.78046E+12,The Island Of Doctor Moreau (Everyman Paperback Classics),H.G. Wells,,,,,
385333498,9.78039E+12,The Sirens Of Titan: A Novel,Kurt Vonnegut,http://www.openisbn.com/cover/0385333498_72.jpg,Dial Press Trade Paperback,336,,
425043231,9.78043E+12,The Man In The High Castle,Philip K. Dick,http://www.openisbn.com/cover/0425043231_72.jpg,Berkley,249,,
345313151,9.78035E+12,Bearing An Hourglass (Incarnations Of Immortality,,,,,,
345314255,9.78035E+12,The Sword Of Shannara,Terry Brooks,http://www.openisbn.com/cover/0345314255_72.jpg,Del Rey,736,,
345305183,9.78035E+12,On A Pale Horse (Incarnations Of Immortality,,,,,,
380004933,9.78038E+12,Man Who Fell To Earth,Walter Tevis,http://www.openisbn.com/cover/0380004933_72.jpg,Avon,189,,
451132343,9.78045E+12,Fire-Starter,Stephen King,http://www.openisbn.com/cover/0451132343_72.jpg,New American Library,404,,
345279255,9.78035E+12,Castle Roogna (Xanth,,,,,,
451131312,9.78045E+12,Night Shift,Stephen King,http://www.openisbn.com/cover/0451131312_72.jpg,Signet,0,,
345272846,9.78035E+12,THE SOURCE OF MAGIC,Piers Anthony,http://www.openisbn.com/cover/0345272846_72.jpg,Del Rey,326,,
786884460,9.78079E+12,The Ice Master: The Doomed 1913 Voyage Of The Karluk,Jennifer Niven,http://www.openisbn.com/cover/0786884460_72.jpg,Hyperion,432,,
61031429,9.78006E+12,The Vendetta Defense,Lisa Scottoline,http://www.openisbn.com/cover/0061031429_72.jpg,HarperTorch,528,,
60977337,9.78006E+12,Downsize This! Random Threats From An Unarmed American,Michael Moore,http://www.openisbn.com/cover/0060977337_72.jpg,William Morrow Paperbacks,336,,
446693790,9.78045E+12,Dude,,,,,,
553380168,9.78055E+12,A Brief History Of Time,Stephen Hawking,http://www.openisbn.com/cover/0553380168_72.jpg,Bantam,212,,
140285008,9.78014E+12,The Penguin Book Of 20th-Century Speeches,Brian MacArthur,http://www.openisbn.com/cover/0140285008_72.jpg,Penguin (Non-Classics),560,,
067104155X,9.78067E+12,Diablo #1: Legacy Of Blood,Richard A. Knaak,http://www.openisbn.com/cover/067104155X_72.jpg,Pocket Books/Star Trek,368,,
006098726X,9.78006E+12,Stupid White Men: ...And Other Sorry Excuses For The State Of The Nation!,Michael Moore,http://www.openisbn.com/cover/006098726X_72.jpg,William Morrow Paperbacks,304,,
068483569X,9.78068E+12,The Commanding Heights : The Battle For The World Economy,Daniel Yergin,,,,,
380701006,9.78038E+12,Inside Outside,Herman Wouk,http://www.openisbn.com/cover/0380701006_72.jpg,Avon Books,0,,
671504398,9.78067E+12,Les Miserables (Enriched Classics),Victor Hugo,http://www.openisbn.com/cover/0671504398_72.jpg,Simon &amp; Schuster,544,,
451522303,9.78045E+12,Animal Farm (Signet Classics),George Orwell,http://www.openisbn.com/cover/0451522303_72.jpg,Signet Classics,1,,
441005152,9.78044E+12,Scales Of Justice,Daniel Hood,http://www.openisbn.com/cover/0441005152_72.jpg,Ace,304,,
3518366750,9.78352E+12,Der Steppenwolf: Roman (suhrkamp Taschenbuch),Hermann Hesse,,,,,
3453172337,9.78345E+12,Das Schwarze Auge 50. Gassengeschichten. Fünfzigster Band Aus Der Aventurischen Spielewelt.,Britta Herz,,,,,
3404136012,9.7834E+12,Wintermond,Dean R. Koontz,http://www.openisbn.com/cover/3404136012_72.jpg,Bastei Lübbe,413,,
3453131169,9.78345E+12,Flüstern In Der Nacht,Dean R. Koontz,http://www.openisbn.com/cover/3453131169_72.jpg,Heyne,604,,
3453092007,9.78345E+12,Die Zweite Haut.,Dean R. Koontz,http://www.openisbn.com/cover/3453092007_72.jpg,Heyne,509,,
553582925,9.78055E+12,Tick Tock,Dean Koontz,http://www.openisbn.com/cover/0553582925_72.jpg,Bantam,352,,
441008763,9.78044E+12,The Coming,Joe Haldeman,http://www.openisbn.com/cover/0441008763_72.jpg,Ace,288,,
812545249,9.78081E+12,The Chronoliths,Robert Charles Wilson,http://www.openisbn.com/cover/0812545249_72.jpg,Tor Science Fiction,320,,
446606715,9.78045E+12,A Second Chance At Eden,Peter F. Hamilton,http://www.openisbn.com/cover/0446606715_72.jpg,Aspect,432,,
553572423,9.78055E+12,The Fist Of God,Frederick Forsyth,http://www.openisbn.com/cover/0553572423_72.jpg,Bantam,592,,
373320132,9.78037E+12,Lord Of High Cliff Manor (Gothic Romances),Irene M. Pascoe,http://www.openisbn.com/cover/0373320132_72.jpg,Harlequin,220,,
803728492,9.7808E+12,Gossip Times Three,Amy Goldman Koss,http://www.openisbn.com/cover/0803728492_72.jpg,Dial,176,,
525941673,9.78053E+12,Cavedweller,Dorothy Allison,http://www.openisbn.com/cover/0525941673_72.jpg,Dutton Adult,434,,
812522400,9.78081E+12,Lord Of The Isles,David Drake,http://www.openisbn.com/cover/0812522400_72.jpg,Tor Fantasy,640,,
553102044,9.78055E+12,Jane And The Wandering Eye: Being The Third Jane Austen Mystery,Stephanie Barron,http://www.openisbn.com/cover/0553102044_72.jpg,Bantam,272,,
156718359X,9.78157E+12,Hypnosis For Beginners: Reach New Levels Of Awareness &amp; Achievement (For Beginners (Llewellyn's)),William W. Hewitt,http://www.openisbn.com/cover/156718359X_72.jpg,Llewellyn Publications,288,,
671722948,9.78067E+12,Twelfth Night,William Shakespeare,http://www.openisbn.com/cover/0671722948_72.jpg,Washington Square Press,272,,
140191550,9.78014E+12,Shamanism Archaic Techniques Of Ecstasy (Arkana),Mircea Eliade,http://www.openisbn.com/cover/0140191550_72.jpg,Arkana,640,,
140009930,9.78014E+12,Day Of The Triffids,John Wyndham,http://www.openisbn.com/cover/0140009930_72.jpg,Penguin Putnam~mass,272,,
014027944X,9.78014E+12,Armadillo,William Boyd,http://www.openisbn.com/cover/014027944X_72.jpg,Penguin Putnam~trade,384,,
140051627,9.78014E+12,The Trials Of Rumpole,John Mortimer,http://www.openisbn.com/cover/0140051627_72.jpg,Penguin (Non-Classics),208,,
713910372,9.78071E+12,The Penguin Dictionary Of Quotations,John M. Cohen,,,,,
140510494,9.78014E+12,The Penguin Dictionary Of Geology (Dictionary,,,,,,
140510028,9.78014E+12,A Dictionary Of Geography (Fifth Edition),W.G.,,,,,
140442073,9.78014E+12,The Twilight Of The Idols And The Anti-Christ: Or How To Philosophize With A Hammer (Classics),Friedrich Nietzsche,,,,,
575075546,9.78058E+12,The Soddit: Or,,,,,,
91816874,9.78009E+12,Sugar Busters,H Leighton Steward,http://www.openisbn.com/cover/0091816874_72.jpg,Vermilion,281,,
330020706,9.78033E+12,Town Like Alice,Nevil Shute,http://www.openisbn.com/cover/0330020706_72.jpg,Pan Books Ltd,315,,
851123554,9.78085E+12,The Guinness Book Of Aircraft: Records,,,,,,
743220633,9.78074E+12,Sun Dog,Monique Roffey,http://www.openisbn.com/cover/0743220633_72.jpg,Scribner,368,,
1903402913,9.7819E+12,Gangbuster,Peter Bleksley,http://www.openisbn.com/cover/1903402913_72.jpg,John Blake,315,,
1856053318,9.78186E+12,Nostradamus: The Prophecies,S.Anderson Black,http://www.openisbn.com/cover/1856053318_72.jpg,Bookmart Ltd,256,,
752521454,9.78075E+12,Patios,,,,,,
696204800,9.7807E+12,501 Quilt Blocks: A Treasury Of Patterns For Patchwork And Applique (Better Homes &amp; Gardens Crafts),Better Homes &amp; Gardens,,,,,
027300235X,9.78027E+12,Boxes (Collecting For Tomorrow),Brian Cole,http://www.openisbn.com/cover/027300235X_72.jpg,Pitman,111,,
877540950,9.78088E+12,Decorative Printed Tins,D. Griffith,http://www.openisbn.com/cover/0877540950_72.jpg,Chelsea House Pub (L),96,,
751514853,9.78075E+12,Supping With Panthers,Tom Holland,http://www.openisbn.com/cover/0751514853_72.jpg,Time Warner Paperbacks,320,,
3404143205,9.7834E+12,Mission Sphinx: Thriller,Glenn Meade,http://www.openisbn.com/cover/3404143205_72.jpg,Bastei Lübbe (Bastei Verlag),751,,
345386980X,9.78345E+12,Der Richter: Roman,John Grisham,,,,,
3629002013,9.78363E+12,Ein Gutes Jahr,Albert Bichler,,,,,
877147728,9.78088E+12,My Last Remains,Jill Remains,http://www.openisbn.com/cover/0877147728_72.jpg,Denlingers Pub Ltd,144,,
674955218,9.78067E+12,Women On The Margins: Three Seventeenth-Century Lives,Natalie Zemon Davis,http://www.openisbn.com/cover/0674955218_72.jpg,Belknap Press Of Harvard University Press,372,,
452283930,9.78045E+12,Gossip Hound,Wendy Holden,http://www.openisbn.com/cover/0452283930_72.jpg,Plume,287,,
553382225,9.78055E+12,The Big Bad Wolf Tells All,Donna Kauffman,http://www.openisbn.com/cover/0553382225_72.jpg,Bantam,339,,
1573227331,9.78157E+12,About A Boy,Nick Hornby,http://www.openisbn.com/cover/1573227331_72.jpg,Riverhead Trade,320,,
679767959,9.78068E+12,Heartburn,Nora Ephron,http://www.openisbn.com/cover/0679767959_72.jpg,Vintage,192,,
451526767,9.78045E+12,Twelfth Night: Or,,,,,,
596001932,9.7806E+12,The Root Of All Evil,Illiad,,,,,
156592861X,9.78157E+12,Evil Geniuses In A Nutshell,"Illiad"" Frazer J.D.",http://www.openisbn.com/cover/156592861X_72.jpg,O'Reilly Media,136,,
1565926730,9.78157E+12,User Friendly: The Comic Strip,Illiad,http://www.openisbn.com/cover/1565926730_72.jpg,O'Reilly Media,132,,
080411918X,9.7808E+12,A Patchwork Planet,Anne Tyler,http://www.openisbn.com/cover/080411918X_72.jpg,Ballantine Books,320,,
60171405,9.78006E+12,The Power Of Beauty,Nancy Friday,http://www.openisbn.com/cover/0060171405_72.jpg,Harpercollins,589,,
553293176,9.78055E+12,Dangerous,Amanda Quick,http://www.openisbn.com/cover/0553293176_72.jpg,Bantam,352,,
316812471,9.78032E+12,Revolution From Within: A Book Of Self-Esteem,Gloria Steinem,http://www.openisbn.com/cover/0316812471_72.jpg,Little,,,
440222915,9.78044E+12,Outlander,Diana Gabaldon,http://www.openisbn.com/cover/0440222915_72.jpg,Dell,0,,
1551668653,9.78155E+12,Getting Rid Of Bradley,Jennifer Crusie,http://www.openisbn.com/cover/1551668653_72.jpg,Mira,256,,
038079960X,9.78038E+12,The Mermaids Singing,Lisa Carey,http://www.openisbn.com/cover/038079960X_72.jpg,Avon,352,,
440237300,9.78044E+12,Three Weeks In Paris,Barbara Taylor Bradford,http://www.openisbn.com/cover/0440237300_72.jpg,Dell,352,,
373292945,9.78037E+12,The Wedding Knight,Joanne Rock,http://www.openisbn.com/cover/0373292945_72.jpg,Harlequin,304,,
1568842406,9.78157E+12,Windows.. 95 For Dummies..,Andy Rathbone,http://www.openisbn.com/cover/1568842406_72.jpg,Hungry Minds Inc,384,,
399133186,9.7804E+12,Mortal Fear,Robin Cook,http://www.openisbn.com/cover/0399133186_72.jpg,Putnam Adult,364,,
66214122,9.78007E+12,Prey,Michael Crichton,http://www.openisbn.com/cover/0066214122_72.jpg,HarperCollins,384,,
684803135,9.78068E+12,The Moral Compass: Stories For A Life's Journey,William J. Bennett,http://www.openisbn.com/cover/0684803135_72.jpg,Simon &amp; Schuster,832,,
451404300,9.78045E+12,The Dividing Line (Onyx),Richard Parrish,http://www.openisbn.com/cover/0451404300_72.jpg,Onyx,432,,
312192339,9.78031E+12,Incident At Twenty-Mile,Trevanian,http://www.openisbn.com/cover/0312192339_72.jpg,St Martins Pr,308,,
60802162,9.78006E+12,Hitler : A Study In Tyranny ( Harper Perennial Library,,,,,,
394744322,9.78039E+12,WAITING TO LIVE-V432 (Aventura),Mewa Ramgobin,http://www.openisbn.com/cover/0394744322_72.jpg,Vintage,240,,
375507523,9.78038E+12,Bushwhacked: Life In George W. Bush's America,Molly Ivins,,,,,
140266909,9.78014E+12,Please Kill Me: The Uncensored Oral History Of Punk,Legs McNeil,,,,,
836221192,9.78084E+12,Fugitive From The Cubicle Police,Scott Adams,http://www.openisbn.com/cover/0836221192_72.jpg,Andrews And McMeel,224,,
446386405,9.78045E+12,How To Live With A Neurotic Cat,Stephen Baker,,,,,
688088007,9.78069E+12,Grand Tours And Cook's Tours: A History Of Leisure Travel,,,,,,
140444203,9.78014E+12,The Jewish War: Revised Edition (Penguin Classics),Flavius Josephus,,,,,
1878825003,9.78188E+12,The Decline And Fall Of The American Empire (The Real Story Series),Gore Vidal,http://www.openisbn.com/cover/1878825003_72.jpg,Odonian Press,96,,
70037485,9.78007E+12,Flaubert's Parrot,Julian Barnes,http://www.openisbn.com/cover/0070037485_72.jpg,McGraw-Hill,216,,
3499102277,9.7835E+12,Lachen,,,,,,
872203948,9.78087E+12,The Peloponnesian War,Thucydides,,,,,
385721404,9.78039E+12,Holy War: The Crusades And Their Impact On Today's World,Karen Armstrong,http://www.openisbn.com/cover/0385721404_72.jpg,Anchor Books,628,,
375410597,9.78038E+12,Executioner's Current: Thomas Edison,,,,,,
440125081,9.78044E+12,Final Diagnosis,,,,,,
446604275,9.78045E+12,Primary Colors: A Novel Of Politics,Anonymous,,,,,
671501747,9.78067E+12,Salvador,Joan Didion,http://www.openisbn.com/cover/0671501747_72.jpg,Pocket,0,,
805040900,9.78081E+12,The Twilight Of Common Dreams: Why America Is Wracked By Culture Wars,Todd Gitlin,http://www.openisbn.com/cover/0805040900_72.jpg,Henry Holt &amp; Co,294,,
465006930,9.78047E+12,The Bell Curve Wars: Race,,,,,,
670804541,9.78067E+12,Amusing Ourselves To Death,Neil Postman,http://www.openisbn.com/cover/0670804541_72.jpg,Viking Adult,184,,
679741836,9.78068E+12,Molly Ivins Can't Say That,,,,,,
068810391X,9.78069E+12,The Next Century,David Halberstam,http://www.openisbn.com/cover/068810391X_72.jpg,William Morrow And Co,0,,
849912903,9.78085E+12,The End Of The Age: A Novel,Pat Robertson,http://www.openisbn.com/cover/0849912903_72.jpg,W Pub Group,374,,
034531798X,9.78035E+12,FOUNDATION,Isaac Asimov,http://www.openisbn.com/cover/034531798X_72.jpg,Del Rey,0,,
812968379,9.78081E+12,Funny In Farsi: A Memoir Of Growing Up Iranian In America,Firoozeh Dumas,http://www.openisbn.com/cover/0812968379_72.jpg,Random House Trade Paperbacks,240,,
312961294,9.78031E+12,Snow In April,Rosamunde Pilcher,http://www.openisbn.com/cover/0312961294_72.jpg,St. Martin's Paperbacks,245,,
034545071X,9.78035E+12,Distant Shores,Kristin Hannah,http://www.openisbn.com/cover/034545071X_72.jpg,Ballantine Books,352,,
451188470,9.78045E+12,The Love Letter,Cathleen Schine,http://www.openisbn.com/cover/0451188470_72.jpg,Signet,368,,
006019541X,9.78006E+12,Blue Angel: A Novel,Francine Prose,http://www.openisbn.com/cover/006019541X_72.jpg,Harper,320,,
446527696,9.78045E+12,The Edge Of Town,Dorothy Garlock,http://www.openisbn.com/cover/0446527696_72.jpg,Warner Books,352,,
446609749,9.78045E+12,Getting Back,William Dietrich,http://www.openisbn.com/cover/0446609749_72.jpg,Grand Central Publishing,448,,
375502238,9.78038E+12,Blessings,Anna Quindlen,http://www.openisbn.com/cover/0375502238_72.jpg,Random House,240,,
440202043,9.78044E+12,The Shell Seekers,Rosamunde Pilcher,http://www.openisbn.com/cover/0440202043_72.jpg,Dell,0,,
345285557,9.78035E+12,The Elfstones Of Shannara,Terry Brooks,http://www.openisbn.com/cover/0345285557_72.jpg,Del Rey,469,,
821723243,9.78082E+12,House Of Illusions,Ruby Jean Jensen,http://www.openisbn.com/cover/0821723243_72.jpg,Zebra,0,,
312156499,9.78031E+12,Seeing Calvin Coolidge In A Dream: A Novel,John Derbyshire,http://www.openisbn.com/cover/0312156499_72.jpg,St. Martin's Griffin,288,,
938077112,9.78094E+12,The Heart Of Understanding: Commentaries On The Prajnaparamita Heart Sutra,Thich Nhat Hanh,,,,,
312975228,9.78031E+12,Boy In The Water,Stephen Dobyns,http://www.openisbn.com/cover/0312975228_72.jpg,St. Martin's Paperbacks,448,,
590452037,9.78059E+12,Maniac Magee,Jerry Spinelli,http://www.openisbn.com/cover/0590452037_72.jpg,Scholastic Inc,0,,
451183665,9.78045E+12,A Case Of Need,Michael Crichton,,,,,
61097268,9.78006E+12,Unwanted Company,Barbara Seranella,http://www.openisbn.com/cover/0061097268_72.jpg,Avon Books,304,,
553111531,9.78055E+12,Darkness Peering,Alice Blanchard,http://www.openisbn.com/cover/0553111531_72.jpg,Bantam,352,,
439137411,9.78044E+12,Mewtwo Strikes Back (Pokemon,,,,,,
312155859,9.78031E+12,Mary Queen Of Scotland &amp; The Isles: A Novel,Margaret George,http://www.openisbn.com/cover/0312155859_72.jpg,St. Martin's Griffin,880,,
380758377,9.78038E+12,Without Due Process,J.A. Jance,http://www.openisbn.com/cover/0380758377_72.jpg,Avon,384,,
345441761,9.78035E+12,Death Row,William Bernhardt,http://www.openisbn.com/cover/0345441761_72.jpg,Fawcett,416,,
399150897,9.7804E+12,Blow Fly,Patricia Cornwell,http://www.openisbn.com/cover/0399150897_72.jpg,Putnam,465,,
449911160,9.78045E+12,About Schmidt (Ballantine Reader's Circle),Louis Begley,http://www.openisbn.com/cover/0449911160_72.jpg,Ballantine Books,273,,
671868640,9.78067E+12,The ENCHANTED APRIL,Elizabeth Von Arnim,http://www.openisbn.com/cover/0671868640_72.jpg,Pocket,320,,
553247379,9.78055E+12,The Mother Hunt,Rex Stout,,,,,
61043508,9.78006E+12,Strong Poison,Dorothy L. Sayers,http://www.openisbn.com/cover/0061043508_72.jpg,HarperTorch,272,,
811828964,9.78081E+12,The Bad Girl's Guide To Getting What You Want,Cameron Tuttle,,,,,
671624342,9.78067E+12,A Matter Of Honor,Jeffrey Archer,http://www.openisbn.com/cover/0671624342_72.jpg,Linden Press,,,
786890169,9.78079E+12,Black Water: A Merci Rayborn Novel,T. Jefferson Parker,http://www.openisbn.com/cover/0786890169_72.jpg,Hyperion,416,,
074322535X,9.78074E+12,Gap Creek: The Story Of A Marriage,Robert Morgan,http://www.openisbn.com/cover/074322535X_72.jpg,Touchstone,352,,
399148728,9.7804E+12,Fire Ice: A Novel From The NUMA Files,Clive Cussler,,,,,
71349294,9.78007E+12,Great Eastern RV Trips: A Year-Round Guide To The Best Rving In The East,Janet Groene,,,,,
312869061,9.78031E+12,Swell Foop (Xanth Novels),Piers Anthony,http://www.openisbn.com/cover/0312869061_72.jpg,Tor Books,304,,
812968212,9.78081E+12,Matchstick Men: A Novel About Grifters With Issues,Eric Garcia,http://www.openisbn.com/cover/0812968212_72.jpg,Random House Trade Paperbacks,240,,
312264372,9.78031E+12,Robert Ludlum's The Hades Factor: A Covert-One Novel,Robert Ludlum,,,,,
684841185,9.78068E+12,Death Du Jour,Kathy Reichs,http://www.openisbn.com/cover/0684841185_72.jpg,Scribner,384,,
749005491,9.78075E+12,Chill Factor (Detective Inspector Charlie Priest Mystery),Stuart Pawson,http://www.openisbn.com/cover/0749005491_72.jpg,Allison &amp; Busby,362,,
679463070,9.78068E+12,Casual Rex: A Novel,Eric Garcia,http://www.openisbn.com/cover/0679463070_72.jpg,Villard,352,,
399146865,9.7804E+12,Getting What You Want: The 7 Principles Of Rational Living,Robert J. Ringer,http://www.openisbn.com/cover/0399146865_72.jpg,Putnam Adult,272,,
312873085,9.78031E+12,Elixir,Gary Braver,http://www.openisbn.com/cover/0312873085_72.jpg,Forge,352,,
875964249,9.78088E+12,A Lifetime Of Sex: The Ultimate Manual On Sex,,,,,,
28625757,9.78003E+12,The Complete Illustrated Guide To Everything Sold In Hardware Stores,Steve Ettlinger,http://www.openisbn.com/cover/0028625757_72.jpg,Wiley,480,,
399146687,9.7804E+12,Perish Twice,Robert B. Parker,http://www.openisbn.com/cover/0399146687_72.jpg,Putnam Adult,320,,
055380099X,9.78055E+12,Last Puzzle &amp; Testament,Parnell Hall,http://www.openisbn.com/cover/055380099X_72.jpg,Bantam,352,,
316693286,9.78032E+12,Pop Goes The Weasel (Alex Cross),James Patterson,http://www.openisbn.com/cover/0316693286_72.jpg,Little,,,
670861944,9.78067E+12,Math Curse,Jon Scieszka,,,,,
399146237,9.7804E+12,Running Blind (Jack Reacher,,,,,,
684842106,9.78068E+12,Terminal Event: A Novel,James S Thayer,http://www.openisbn.com/cover/0684842106_72.jpg,Simon &amp; Schuster,352,,
439164842,9.78044E+12,Eleanor: Crown Jewel Of Aquitaine,,,,,,
60174056,9.78006E+12,The Tennis Partner,Abraham Verghese,http://www.openisbn.com/cover/0060174056_72.jpg,Harper,400,,
373484887,9.78037E+12,Hidden Star (The Stars Of Mithra),Nora Roberts,http://www.openisbn.com/cover/0373484887_72.jpg,Silhouette,384,,
99521016,9.7801E+12,Midnight In The Garden Of Good And Evil,John Berendt,http://www.openisbn.com/cover/0099521016_72.jpg,Vintage Books,400,,
750005815,9.78075E+12,Whitby Series Pb Book 1 (Whitby Book One),Robin Jarvis,http://www.openisbn.com/cover/0750005815_72.jpg,Simon &amp; Schuster Young Books,240,,
075001203X,9.78075E+12,Whitby Series Pb Book 2 (Whitby Book Two),Robin Jarvis,http://www.openisbn.com/cover/075001203X_72.jpg,Simon &amp; Schuster Young Books,304,,
330261878,9.78033E+12,Animals Of Farthing Wood,Colin Dann,http://www.openisbn.com/cover/0330261878_72.jpg,Pan Books,305,,
140302395,9.78014E+12,Gobbolino The Witch's Cat (Young Puffin Books),Ursula Moray Williams,http://www.openisbn.com/cover/0140302395_72.jpg,Puffin,160,,
60086246,9.78006E+12,Last Chance Saloon,Marian Keyes,http://www.openisbn.com/cover/0060086246_72.jpg,Harper Collins,507,,
451180429,9.78045E+12,The Quiet Game,Greg Iles,http://www.openisbn.com/cover/0451180429_72.jpg,Signet,640,,
373250126,9.78037E+12,Milkrun,Sarah Mlynowski,http://www.openisbn.com/cover/0373250126_72.jpg,Red Dress Ink,288,,
60723890,9.78006E+12,The Other Man: John F. Kennedy Jr.,,,,,,
373250193,9.78037E+12,Loose Screws (Red Dress Ink),Karen Templeton,http://www.openisbn.com/cover/0373250193_72.jpg,Red Dress Ink,331,,
758204930,9.78076E+12,Life A La Mode,Linda Lenhoff,http://www.openisbn.com/cover/0758204930_72.jpg,Kensington,304,,
451410947,9.78045E+12,Must Love Dogs,Claire Cook,http://www.openisbn.com/cover/0451410947_72.jpg,Onyx,288,,
038550926X,9.78039E+12,The Devil Wears Prada: A Novel,Lauren Weisberger,http://www.openisbn.com/cover/038550926X_72.jpg,Doubleday,368,,
61010707,9.78006E+12,Men,,,,,,
3462031112,9.78346E+12,Affenliebe: Die Geschichte Eines Langen Entzugs,Silvana Klein,http://www.openisbn.com/cover/3462031112_72.jpg,Kiepenheuer &amp; Witsch,254,,
3499187809,9.7835E+12,Der Mann,,,,,,
3446203966,9.78345E+12,Das Leiden Anderer Betrachten,Susan Sontag,,,,,
3442727367,9.78344E+12,Katalog Von Allem. 1111 Nummern Aus 31 Jahren.,Peter K. Wehrli,http://www.openisbn.com/cover/3442727367_72.jpg,Btb,414,,
3216303217,9.78322E+12,Cramer,Fritz Krenn,http://www.openisbn.com/cover/3216303217_72.jpg,Deuticke,125,,
3442444020,9.78344E+12,Denn Sie Betrügt Man Nicht. Roman,Elizabeth George,,,,,
3257229364,9.78326E+12,Endstation Venedig: Commissario Brunettis Zweiter Fall,Donna Leon,http://www.openisbn.com/cover/3257229364_72.jpg,Diogenes Verlag,395,,
349961118X,9.7835E+12,Minusgrade - Auf Der Suche Nach Dem Absoluten Nullpunkt,Tom Shachtman,http://www.openisbn.com/cover/349961118X_72.jpg,Rowohlt Tb.,0,,
3795116074,9.7838E+12,Wüstenblume,Waris Dirie,,,,,
3499232103,9.7835E+12,Lobrede Auf Das Fehlende Teil,Antoine Bello,,,,,
552998001,9.78055E+12,Blackberry Wine,Joanne Harris,http://www.openisbn.com/cover/0552998001_72.jpg,Black Swan,416,,
3499114178,9.7835E+12,Gammler,,,,,,
3442439736,9.78344E+12,Die Schandmaske,Minette Walters,http://www.openisbn.com/cover/3442439736_72.jpg,Goldmann,448,,
3442350484,9.78344E+12,Die Eiserne Kaiserin,Eleanor Cooney,,,,,
